Date,AdjustedClose,Return
11/08/21,338.62,-0.74
11/05/21,341.13,1.57
11/04/21,335.85,1.28
11/03/21,331.62,1.08
11/02/21,328.08,-0.58
11/01/21,329.98,1.98
10/29/21,323.57,2.10
10/28/21,316.92,1.51
10/27/21,312.22,-1.14
10/26/21,315.81,-3.92
10/25/21,328.69,1.26
10/22/21,324.61,-5.05
10/21/21,341.88,0.32
10/20/21,340.78,0.23
10/19/21,339.99,1.39
10/18/21,335.34,3.26
10/15/21,324.76,-1.15
10/14/21,328.53,1.23
10/13/21,324.54,0.24
10/12/21,323.77,-0.52
10/11/21,325.45,-1.39
10/08/21,330.05,0.25
10/07/21,329.22,-1.32
10/06/21,333.64,0.20
10/05/21,332.96,2.06
10/04/21,326.23,-4.89
10/01/21,343.01,1.07
09/30/21,339.39,-0.06
09/29/21,339.61,-0.31
09/28/21,340.65,-3.66
09/27/21,353.58,0.18
09/24/21,352.96,2.02
09/23/21,345.96,0.80
09/22/21,343.21,-3.99
09/21/21,357.48,0.50
09/20/21,355.70,-2.47
09/17/21,364.72,-2.24
09/16/21,373.06,-0.23
09/15/21,373.92,-0.69
09/14/21,376.53,0.01
09/13/21,376.51,-0.58
09/10/21,378.69,0.18
09/09/21,378.00,0.11
09/08/21,377.57,-1.21
09/07/21,382.18,1.57
09/03/21,376.26,0.26
09/02/21,375.28,-1.77
09/01/21,382.05,0.70
08/31/21,379.38,-0.34
08/30/21,380.66,2.15
08/27/21,372.63,2.26
08/26/21,364.38,-1.09
08/25/21,368.39,0.79
08/24/21,365.51,0.59
08/23/21,363.35,1.11
08/20/21,359.37,1.20
08/19/21,355.12,-0.09
08/18/21,355.45,-0.84
08/17/21,358.45,-2.21
08/16/21,366.56,0.93
08/13/21,363.18,0.15
08/12/21,362.65,0.75
08/11/21,359.96,-0.32
08/10/21,361.13,-0.13
08/09/21,361.61,-0.52
08/06/21,363.51,0.15
08/05/21,362.97,1.13
08/04/21,358.92,2.19
08/03/21,351.24,-0.20
08/02/21,351.95,-1.22
07/30/21,356.30,-0.56
07/29/21,358.32,-4.01
07/28/21,373.28,1.49
07/27/21,367.81,-1.25
07/26/21,372.46,0.72
07/23/21,369.79,5.30
07/22/21,351.19,1.43
07/21/21,346.23,1.34
07/20/21,341.66,1.40
07/19/21,336.95,-1.23
07/16/21,341.16,-0.96
07/15/21,344.46,-0.91
07/14/21,347.63,-1.27
07/13/21,352.09,-0.30
07/12/21,353.16,0.78
07/09/21,350.42,1.38
07/08/21,345.65,-1.38
07/07/21,350.49,-0.65
07/06/21,352.78,-0.54
07/02/21,354.70,0.09
07/01/21,354.39,1.92
06/30/21,347.71,-1.19
06/29/21,351.89,-1.05
06/28/21,355.64,4.18
06/25/21,341.37,-0.53
06/24/21,343.18,0.76
06/23/21,340.59,0.46
06/22/21,339.03,2.03
06/21/21,332.29,0.80
06/18/21,329.66,-2.04
06/17/21,336.51,1.64
06/16/21,331.08,-1.68
06/15/21,336.75,-0.01
06/14/21,336.77,1.66
06/11/21,331.26,-0.36
06/10/21,332.46,0.67
06/09/21,330.25,-1.03
06/08/21,333.68,-0.86
06/07/21,336.58,1.89
06/04/21,330.35,1.32
06/03/21,326.04,-0.94
06/02/21,329.15,0.01
06/01/21,329.13,0.12
05/28/21,328.73,-1.21
05/27/21,332.75,1.55
05/26/21,327.66,-0.04
05/25/21,327.79,0.97
05/24/21,324.63,2.66
05/21/21,316.23,-0.75
05/20/21,318.61,1.60
05/19/21,313.59,1.17
05/18/21,309.96,-1.74
05/17/21,315.46,-0.15
05/14/21,315.94,3.50
05/13/21,305.26,0.90
05/12/21,302.55,-1.30
05/11/21,306.53,0.18
05/10/21,305.97,-4.11
05/07/21,319.08,-0.29
05/06/21,320.02,1.59
05/05/21,315.02,-1.05
05/04/21,318.36,-1.31
05/03/21,322.58,-0.77
04/30/21,325.08,-1.34
04/29/21,329.51,7.30
04/28/21,307.10,1.16
04/27/21,303.57,0.17
04/26/21,303.04,0.63
04/23/21,301.13,1.55
04/22/21,296.52,-1.64
04/21/21,301.47,-0.39
04/20/21,302.65,0.14
04/19/21,302.24,-1.29
04/16/21,306.18,-0.53
04/15/21,307.82,1.65
04/14/21,302.82,-2.24
04/13/21,309.76,-0.57
04/12/21,311.54,-0.29
04/09/21,312.46,-0.18
04/08/21,313.02,-0.02
04/07/21,313.09,2.23
